batch_id,production_date,raw_material_supplier,pigment_type,pigment_quantity,mixing_time,mixing_speed,product_quality_score
BATCH_00001,2022-04-13,SupplierC,type_a,48.82,29.99,Medium,71.75
BATCH_00002,2023-03-12,SupplierA,type_b,50.94,34.65,High,76.21
BATCH_00003,2024-05-10,SupplierC,type_b,54.83,37.78,Low,77.17
BATCH_00004,2022-09-28,SupplierA,type_a,30.64,28.42,Medium,74.52
BATCH_00005,2022-04-17,SupplierB,type_c,44.68,25.0,Ultra,79.96
BATCH_00006,2022-03-13,SupplierA,type_a,48.23,36.07,Medium,75.4
BATCH_00007,2023-12-02,SupplierB,type_a,5.16,28.56,High,62.79
BATCH_00008,2022-01-21,SupplierD,type_b,66.65,27.57,High,82.25
BATCH_00009,2023-09-07,SupplierB,type_c,53.28,28.0,Low,92.45
BATCH_00010,2022-05-02,SupplierA,type_x,55.31,26.41,Low,59.29
BATCH_00011,2023-04-12,SupplierB,type_c,39.69,33.87,High,84.99
BATCH_00012,2022-08-03,SupplierA,type_c,61.73,23.31,High,85.25
BATCH_00013,2022-11-27,SupplierB,type_b,33.36,30.51,Low,72.71
BATCH_00014,2023-04-04,SupplierB,type_a,36.5,31.25,Medium,73.58
BATCH_00015,2022-03-29,SupplierA,type_a,62.57,27.01,Medium,85.44
BATCH_00016,2023-01-08,SupplierB,type_b,57.14,36.13,High,79.28
BATCH_00017,2022-04-10,SupplierB,type_c,24.45,34.49,Medium,61.74
BATCH_00018,2024-05-21,SupplierA,type_b,81.55,27.73,Ultra,90.75
BATCH_00019,2023-10-26,SupplierB,type_c,34.83,29.47,Medium,70.66
BATCH_00020,2022-05-11,SupplierA,type_b,47.35,34.47,High,69.73
BATCH_00021,2023-10-24,SupplierB,type_a,84.94,30.4,Medium,92.38
BATCH_00022,2022-11-05,SupplierB,type_a,8.8,37.01,Medium,68.36
BATCH_00023,2024-02-09,SupplierB,type_c,-10.0,32.83,Low,83.87
BATCH_00024,2022-12-10,SupplierB,type_c,58.84,20.65,Medium,94.82
BATCH_00025,2023-05-07,SupplierB,type_x,0.43,31.22,Medium,73.4
BATCH_00026,2023-02-18,SupplierA,type_a,9.13,45.74,Medium,72.76
BATCH_00027,2024-03-16,SupplierB,type_c,73.5,24.91,Medium,107.71
BATCH_00028,2023-01-21,SupplierA,type_a,41.82,24.53,Medium,71.08
BATCH_00029,2022-07-11,SupplierB,type_a,93.92,28.79,High,83.53
BATCH_00030,2024-08-13,SupplierA,type_c,29.3,37.02,Medium,77.4
BATCH_00031,2022-10-04,SupplierA,type_a,43.63,17.68,Low,70.56
BATCH_00032,2022-06-10,SupplierB,type_c,60.81,20.48,Medium,78.36
BATCH_00033,2023-04-05,SupplierA,type_a,59.43,11.28,Medium,67.97
BATCH_00034,2022-11-10,SupplierB,type_b,44.9,40.6,High,79.54
BATCH_00035,2022-01-22,SupplierA,type_x,37.03,30.13,Low,56.4
BATCH_00036,2022-09-10,SupplierA,type_b,54.63,24.19,Medium,75.42
BATCH_00037,2024-01-18,SupplierB,type_c,77.54,34.11,Ultra,83.11
BATCH_00038,2024-05-06,SupplierA,type_a,65.26,38.31,Low,75.22
BATCH_00039,2023-07-15,SupplierA,type_c,37.35,26.81,Low,53.63
BATCH_00040,2023-04-20,SupplierB,type_b,30.16,32.27,Low,51.4
BATCH_00041,2022-02-28,SupplierA,type_a,-10.0,30.78,Medium,49.54
BATCH_00042,2023-05-26,SupplierB,type_b,24.53,32.86,Medium,72.75
BATCH_00043,2023-11-13,SupplierA,type_a,52.95,27.71,Low,78.77
BATCH_00044,2023-04-21,SupplierA,type_x,66.28,33.14,Medium,79.72
BATCH_00045,2023-12-01,SupplierB,type_b,48.57,34.19,Low,65.73
BATCH_00046,2024-09-02,SupplierA,type_a,84.4,33.37,Medium,88.73
BATCH_00047,2024-02-22,SupplierA,type_b,85.51,21.89,Medium,67.66
BATCH_00048,2022-07-09,SupplierA,type_b,56.15,22.83,Medium,52.88
BATCH_00049,2024-08-15,SupplierA,type_c,64.04,15.59,Low,76.78
BATCH_00050,2023-11-18,SupplierB,type_c,31.99,31.34,Medium,64.14
BATCH_00051,2024-08-15,SupplierA,type_b,42.78,32.8,Medium,82.97
BATCH_00052,2023-07-17,SupplierB,type_x,75.45,24.73,Medium,84.21
BATCH_00053,2024-05-25,SupplierB,type_b,38.41,31.62,Medium,88.03
BATCH_00054,2023-07-21,SupplierA,type_a,150.0,34.73,Medium,99.52
BATCH_00055,2022-09-01,SupplierC,type_c,72.25,33.34,Low,86.54
BATCH_00056,2024-04-11,SupplierA,type_b,65.03,27.7,Low,76.99
BATCH_00057,2023-05-20,SupplierD,type_c,26.55,28.16,Low,81.78
BATCH_00058,2022-05-11,SupplierA,type_x,43.76,23.51,Medium,71.09
BATCH_00059,2023-04-30,SupplierB,type_b,62.88,38.7,Medium,87.41
BATCH_00060,2024-03-29,SupplierB,type_x,30.29,32.37,High,58.31
BATCH_00061,2023-10-09,SupplierA,type_c,46.2,21.94,High,69.71
BATCH_00062,2022-01-21,SupplierB,type_b,150.0,36.13,High,104.16
BATCH_00063,2024-04-20,SupplierB,type_c,38.64,33.29,Medium,84.23
BATCH_00064,2022-06-16,SupplierA,type_b,33.07,35.97,Medium,47.95
BATCH_00065,2022-10-01,SupplierA,type_c,13.98,27.21,High,60.87
BATCH_00066,2023-01-23,SupplierB,type_c,42.27,27.9,Low,69.02
BATCH_00067,2023-08-24,SupplierB,type_a,65.46,25.94,Medium,58.87
BATCH_00068,2022-11-12,SupplierD,type_b,32.54,40.59,Low,65.12
BATCH_00069,2022-01-14,SupplierB,type_c,50.36,27.5,Ultra,59.7
BATCH_00070,2022-08-30,SupplierD,type_a,45.52,25.22,Medium,50.35
BATCH_00071,2024-02-16,SupplierB,type_a,36.67,26.77,Low,68.38
BATCH_00072,2022-12-12,SupplierA,type_b,66.75,28.37,Medium,77.06
BATCH_00073,2023-07-19,SupplierA,type_b,82.85,37.78,Low,82.4
BATCH_00074,2024-06-16,SupplierB,type_b,70.09,14.45,Ultra,82.74
BATCH_00075,2022-12-06,SupplierB,type_a,36.08,36.17,Medium,62.03
BATCH_00076,2022-04-02,SupplierA,type_a,150.0,31.43,Medium,122.91
BATCH_00077,2023-01-02,SupplierA,type_c,70.03,29.1,Medium,80.68
BATCH_00078,2024-08-13,SupplierD,type_b,40.85,24.79,High,85.12
BATCH_00079,2023-03-31,SupplierB,type_a,34.49,37.97,High,53.55
BATCH_00080,2023-03-04,SupplierA,type_b,72.42,34.95,High,73.38
BATCH_00081,2023-05-24,SupplierB,type_b,53.48,35.41,High,82.91
BATCH_00082,2024-02-15,SupplierA,type_a,32.98,34.63,Low,67.63
BATCH_00083,2024-07-31,SupplierA,type_a,47.04,26.45,Ultra,63.38
BATCH_00084,2022-02-04,SupplierA,type_a,41.86,31.33,Medium,54.17
BATCH_00085,2022-07-25,SupplierA,type_c,33.52,35.43,High,77.39
BATCH_00086,2022-03-22,SupplierB,type_c,70.29,34.72,Medium,87.6
BATCH_00087,2024-07-20,SupplierA,type_c,65.63,30.78,Low,78.4
BATCH_00088,2023-07-16,SupplierB,type_c,66.77,39.87,Medium,75.07
BATCH_00089,2024-05-21,SupplierB,type_c,66.49,35.5,Low,68.82
BATCH_00090,2023-01-23,SupplierA,type_b,31.68,36.61,Medium,68.97
BATCH_00091,2022-01-02,SupplierB,type_c,37.93,31.0,Medium,58.22
BATCH_00092,2023-01-25,SupplierB,type_a,79.17,28.14,Low,76.24
BATCH_00093,2023-07-20,SupplierB,type_c,52.16,34.85,Medium,68.8
BATCH_00094,2022-04-16,SupplierA,type_c,20.59,33.67,Ultra,47.67
BATCH_00095,2024-02-11,SupplierB,type_b,54.34,31.73,High,83.08
BATCH_00096,2024-04-01,SupplierB,type_b,63.1,25.77,High,93.87
BATCH_00097,2023-04-22,SupplierA,type_a,60.48,35.05,Medium,86.31
BATCH_00098,2023-12-04,SupplierA,type_c,31.24,26.03,Medium,73.35
BATCH_00099,2023-02-06,SupplierB,type_c,87.73,33.89,Low,81.68
BATCH_00100,2023-12-31,SupplierB,type_x,19.99,24.52,Ultra,59.54
BATCH_00101,2023-07-10,SupplierA,type_b,52.22,25.76,High,53.18
BATCH_00102,2022-06-11,SupplierB,type_c,84.73,31.46,High,85.79
BATCH_00103,2022-07-21,SupplierA,type_b,61.83,32.89,Ultra,74.53
BATCH_00104,2024-08-15,SupplierB,type_x,66.72,31.08,Medium,73.04
BATCH_00105,2024-09-22,SupplierA,type_b,28.94,27.36,Medium,68.48
BATCH_00106,2022-09-27,SupplierB,type_b,56.94,35.57,Medium,77.71
BATCH_00107,2024-05-12,SupplierA,type_b,49.27,30.69,Medium,68.42
BATCH_00108,2024-03-26,SupplierA,type_c,27.4,30.97,Medium,84.35
BATCH_00109,2022-09-28,SupplierA,type_c,67.3,29.21,Medium,87.5
BATCH_00110,2023-04-01,SupplierA,type_a,33.61,26.39,Medium,79.05
BATCH_00111,2023-04-07,SupplierB,type_a,35.98,35.63,High,69.76
BATCH_00112,2023-12-28,SupplierA,type_x,58.65,26.79,Medium,82.71
BATCH_00113,2022-09-09,SupplierB,type_b,47.14,38.49,Medium,65.18
BATCH_00114,2023-12-03,SupplierA,type_c,53.39,25.88,Medium,82.68
BATCH_00115,2022-10-23,SupplierA,type_b,45.91,31.61,Medium,71.73
BATCH_00116,2023-12-26,SupplierA,type_a,78.26,30.35,Ultra,73.26
BATCH_00117,2023-12-21,SupplierA,type_c,31.5,29.44,Low,69.22
BATCH_00118,2024-01-19,SupplierA,type_c,40.7,33.41,Low,69.29
BATCH_00119,2022-12-04,SupplierA,type_b,59.62,33.95,Low,101.12
BATCH_00120,2024-05-28,SupplierB,type_b,30.24,32.68,Ultra,73.43
BATCH_00121,2022-02-22,SupplierA,type_c,29.36,24.68,Medium,84.6
BATCH_00122,2024-03-02,SupplierB,type_a,52.75,24.14,Medium,87.14
BATCH_00123,2024-07-10,SupplierB,type_x,67.35,23.84,Medium,80.58
BATCH_00124,2022-08-05,SupplierA,type_a,69.96,28.78,Medium,76.55
BATCH_00125,2024-02-03,SupplierB,type_b,51.83,40.58,High,75.5
BATCH_00126,2022-07-07,SupplierD,type_x,36.56,29.75,Low,62.26
BATCH_00127,2023-01-15,SupplierB,type_c,55.51,40.5,Medium,83.28
BATCH_00128,2023-05-08,SupplierB,type_b,61.32,29.83,Medium,75.38
BATCH_00129,2022-02-10,SupplierA,type_c,55.24,30.8,Low,80.33
BATCH_00130,2022-06-06,SupplierB,type_b,74.68,32.98,Medium,62.1
BATCH_00131,2022-01-15,SupplierB,type_a,29.72,28.54,Low,73.45
BATCH_00132,2024-03-23,SupplierB,type_c,36.06,31.14,Low,81.78
BATCH_00133,2022-03-06,SupplierD,type_c,71.91,21.49,Medium,63.81
BATCH_00134,2024-05-06,SupplierA,type_c,20.54,25.55,High,69.88
BATCH_00135,2024-04-18,SupplierA,type_b,39.21,21.59,Low,85.2
BATCH_00136,2023-06-05,SupplierB,type_a,35.37,33.63,Medium,87.41
BATCH_00137,2022-12-10,SupplierB,type_a,18.72,23.18,Low,60.58
BATCH_00138,2022-05-09,SupplierA,type_b,46.26,37.06,Medium,81.68
BATCH_00139,2023-10-10,SupplierA,type_c,150.0,31.78,Medium,119.3
BATCH_00140,2023-04-17,SupplierA,type_b,53.13,26.94,High,79.95
BATCH_00141,2022-03-04,SupplierA,type_c,65.99,26.77,High,92.65
BATCH_00142,2022-05-19,SupplierB,type_a,73.84,24.38,Low,76.54
BATCH_00143,2023-05-14,SupplierB,type_b,42.29,28.26,Low,76.63
BATCH_00144,2023-08-16,SupplierA,type_a,102.94,35.32,Low,84.66
BATCH_00145,2023-01-27,SupplierA,type_b,43.09,40.58,Medium,71.28
BATCH_00146,2023-11-06,SupplierA,type_a,45.75,32.54,Medium,78.06
BATCH_00147,2023-02-23,SupplierA,type_c,35.85,23.42,Low,63.79
BATCH_00148,2022-10-16,SupplierB,type_a,60.91,25.14,Low,76.04
BATCH_00149,2023-01-14,SupplierD,type_x,44.19,22.56,Medium,80.87
BATCH_00150,2024-02-12,SupplierB,type_b,48.42,29.35,Low,95.05
BATCH_00151,2023-05-05,SupplierA,type_c,45.9,28.61,High,53.27
BATCH_00152,2022-08-19,SupplierB,type_b,45.44,29.32,Medium,93.4
BATCH_00153,2022-02-10,SupplierB,type_x,53.17,24.63,Medium,73.35
BATCH_00154,2022-01-28,SupplierB,type_a,41.0,24.13,Medium,81.95
BATCH_00155,2022-05-15,SupplierB,type_c,41.93,30.47,Low,84.19
BATCH_00156,2022-07-20,SupplierA,type_x,71.46,32.42,Medium,97.08
BATCH_00157,2024-04-19,SupplierA,type_a,44.13,24.08,High,65.96
BATCH_00158,2024-02-19,SupplierA,type_a,57.67,32.37,Medium,75.05
BATCH_00159,2024-07-18,SupplierA,type_b,32.21,34.73,Medium,69.13
BATCH_00160,2022-02-02,SupplierA,type_x,41.11,18.35,High,68.76
